КодКатегории,ЧастотаПродаж,Цена,ДлинаЕд,ДлинаЕд.1,ШиринаЕд,ШиринаЕд.1,ВысотаЕд,ВысотаЕд.1,Остаток,ВсегоТовара,Количество,НаВитрине,Транзит,Транзит.1,НаСкладе
GF18208,0.0039430936,46999.0,0.5299999713897705,0,0.0599999986588954,0,0.3300000131130218,0,,0,,0,,0,0.0
MA76008,1.0713999e-06,2099.0,0.135000005364418,0,0.025000000372529,0,0.209999993443489,0,,0,,0,,0,0.0
GF18250,0.012664416,,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
GF18375,0.025577003,699.0,0.1199999973177909,0,0.0799999982118606,0,0.0399999991059303,0,1.0,0,1.0,0,0.0,0,0.0
GF18435,1.0387155e-06,27199.0,0.4250000119209289,0,0.3100000023841858,0,0.1449999958276748,0,,0,,0,,0,0.0
FE03541,0.019875549,26599.0,0.5099999904632568,0,0.1500000059604644,0,0.3000000119209289,0,,0,,0,,0,0.0
GF18413,1.4869877e-06,19499.0,0.5849999785423279,0,0.395000010728836,0,0.2000000029802322,0,,0,,0,,0,0.0
GF18259,0.019357754,950.0,,0,,0,,0,1.0,0,1.0,0,0.0,0,0.0
GF18240,8.075893e-07,6999.0,0.1800000071525573,0,0.0799999982118606,0,0.0799999982118606,0,,0,,0,,0,0.0
FE94230,0.009757995,37299.0,0.4550000131130218,0,0.2649999856948852,0,0.5149999856948853,0,,0,,0,,0,0.0
GF27459,1.0187396e-06,3850.0,0.1000000014901161,0,0.0799999982118606,0,0.0299999993294477,0,,0,,0,,0,0.0
MA10206,1.3460233e-06,570.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
MA10206,1.3460233e-06,650.0,0.1500000059604644,0,0.0949999988079071,0,0.0199999995529651,0,,0,,0,,0,0.0
MA10206,0.0069755423,250.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
MA10206,0.033943366,350.0,0.1700000017881393,0,0.1000000014901161,0,0.0149999996647238,0,,0,,0,,0,0.0
MA10213,0.0055720797,1499.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
MA45088,1.5283401e-06,2750.0,0.2450000047683715,0,0.135000005364418,0,0.0509999990463256,0,,0,,0,,0,0.0
MA10245,0.009871474,699.0,0.1770000010728836,0,0.0850000008940696,0,0.0219999998807907,0,,0,,0,,0,0.0
MA10221,0.0033979912,699.0,0.1199999973177909,0,0.050000000745058,0,0.0140000004321336,0,,0,,0,,0,0.0
GF18250,0.011188845,32999.0,,0,,0,,0,1.0,0,1.0,0,0.0,0,0.0
GF18232,0.0031723815,399.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
GF18330,1.1255074e-06,2450.0,0.6700000166893005,0,0.1099999994039535,0,0.0299999993294477,0,,0,,0,,0,0.0
MA10194,0.025783049,3899.0,0.0,0,0.0,0,0.0,0,1.0,0,1.0,0,0.0,0,0.0
GF19450,0.09577261,1999.0,0.4399999976158142,0,0.3199999928474426,0,0.3650000095367431,0,1.0,0,1.0,0,0.0,0,0.0
GF18250,1.0732556e-06,139999.0,,0,,0,,0,,0,,0,,0,0.0
MA00289,1.0385183e-06,4099.0,,0,,0,,0,,0,,0,,0,0.0
GF19445,9.846354e-07,1599.0,0.1299999952316284,0,0.210999995470047,0,0.0320000015199184,0,,0,,0,,0,0.0
EY68966,0.011093641,1999.0,0.25,0,0.2150000035762787,0,0.3350000083446502,0,,0,,0,,0,0.0
GF19434,0.012912683,1899.0,0.2300000041723251,0,0.1850000023841858,0,0.3050000071525574,0,,0,,0,,0,0.0
GF20755,0.005356098,7299.0,0.6399999856948853,0,0.0900000035762786,0,0.4149999916553497,0,,0,,0,,0,0.0
GF20755,1.0335301e-06,10199.0,0.7200000286102295,0,0.449999988079071,0,0.1700000017881393,0,,0,,0,,0,0.0
GF20755,1.0335301e-06,7599.0,0.6000000238418579,0,0.1099999994039535,0,0.4199999868869781,0,,0,,0,,0,0.0
GF20755,0.003444067,8999.0,0.5199999809265137,0,0.4099999964237213,0,0.1599999964237213,0,,0,,0,,0,0.0
GF20755,0.003444067,4799.0,0.3400000035762787,0,0.0799999982118606,0,0.4099999964237213,0,,0,,0,,0,0.0
MA76008,0.00671497,1750.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
FE43822,0.013691816,499.0,0.0,0,0.0,0,0.0,0,1.0,0,,0,0.0,0,1.0
MA00327,0.01110098,1299.0,0.125,0,0.2800000011920929,0,0.2199999988079071,0,,0,,0,,0,0.0
EY11578,1.1347619e-06,530.0,0.3499999940395355,0,0.0900000035762786,0,0.0299999993294477,0,,0,,0,,0,0.0
MA00327,0.02177777,2199.0,0.0,0,0.0,0,0.0,0,1.0,0,1.0,0,0.0,0,0.0
GF18304,1.0408548e-06,,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
GF18375,0.026556924,399.0,0.1199999973177909,0,0.0799999982118606,0,0.0199999995529651,0,3.0,0,3.0,0,0.0,0,0.0
GF30129,1.0642494e-06,140.0,0.1800000071525573,0,0.0900000035762786,0,0.0099999997764825,0,,0,,0,,0,0.0
GF30129,1.0642494e-06,140.0,0.1800000071525573,0,0.0900000035762786,0,0.0099999997764825,0,,0,,0,,0,0.0
GF30129,1.0642494e-06,140.0,0.1800000071525573,0,0.0900000035762786,0,0.0099999997764825,0,,0,,0,,0,0.0
GF30129,1.0642494e-06,140.0,0.1800000071525573,0,0.0900000035762786,0,0.0099999997764825,0,,0,,0,,0,0.0
GF20878,0.0111939795,3499.0,0.1930000036954879,0,0.1049999967217445,0,0.0549999997019767,0,,0,,0,,0,0.0
